Game,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,id
Avatar: The Game,Action,0.2475,0.28500000000000003,0.0,0.0825,0.6174999999999999,201
Avatar: The Last Airbender,Adventure,0.24,0.02,0.0,0.02,0.28,202
Avatar: The Last Airbender - Into the Inferno,Adventure,0.17,0.01,0.0,0.01,0.19,203
Avatar: The Last Airbender - The Burning Earth,Action,0.175,0.005,0.0,0.015,0.2,204
Azurik: Rise of Perathia,Action,0.18,0.05,0.0,0.01,0.24,205
"BCFX: The Black College Football Xperience, The Doug Williams Edition",Sports,0.15,0.0,0.0,0.01,0.16,206
BIT.TRIP COMPLETE,Misc,0.06,0.02,0.0,0.01,0.1,207
BMX XXX,Sports,0.08,0.02,0.0,0.0,0.11,208
Babysitting Mama,Simulation,0.34,0.12,0.0,0.04,0.5,209
Back to the Future: The Game,Adventure,0.048,0.016,0.0,0.008,0.074,210
Backyard Baseball '09,Sports,0.04,0.0,0.0,0.0,0.04,211
Backyard Baseball '10,Sports,0.1,0.0,0.0,0.01,0.11,212
Backyard NFL Football,Sports,0.02,0.0,0.0,0.0,0.03,213
Backyard NFL Football '09,Sports,0.2,0.0,0.0,0.02,0.21,214
Backyard NFL Football '10,Sports,0.13,0.0,0.0,0.01,0.14,215
Backyard Sports Football: Rookie Rush,Sports,0.11499999999999999,0.0,0.0,0.01,0.125,216
Backyard Sports: Sandlot Sluggers,Sports,0.12,0.0,0.0,0.01,0.125,217
Backyard Wrestling 2: There Goes the Neighborhood,Fighting,0.09,0.03,0.0,0.0,0.12,218
Backyard Wrestling: Don't Try This at Home,Fighting,0.13,0.04,0.0,0.01,0.17,219
Bad Boys: Miami Takedown,Shooter,0.14,0.04,0.0,0.01,0.18,220
Baja: Edge of Control,Racing,0.11,0.07,0.0,0.03,0.20500000000000002,221
Bakugan Battle Brawlers: Defenders of the Core,Action,0.13333333333333333,0.013333333333333334,0.0,0.013333333333333334,0.16333333333333333,222
Bakugan: Battle Brawlers,Action,0.33,0.02666666666666667,0.0,0.030000000000000002,0.3866666666666667,223
Baldur's Gate: Dark Alliance,Role-Playing,0.15,0.04,0.0,0.01,0.2,224
Baldur's Gate: Dark Alliance II,Role-Playing,0.19,0.06,0.0,0.01,0.26,225
Balloon Pop,Puzzle,0.04,0.0,0.0,0.0,0.05,226
Balls of Fury,Sports,0.02,0.0,0.0,0.0,0.02,227
Band Hero,Misc,0.5066666666666666,0.25333333333333335,0.0,0.09000000000000001,0.8466666666666667,228
Banjo-Kazooie,Platform,0.0,0.01,0.0,0.0,0.01,229
Banjo-Kazooie: Nuts & Bolts,Platform,0.32,0.36,0.0,0.09,0.78,230
Barbie Horse Adventures: Riding Camp,Sports,0.18,0.0,0.0,0.01,0.2,231
Barbie Horse Adventures: Wild Horse Rescue,Sports,0.05,0.01,0.0,0.0,0.06,232
Barbie and Her Sisters Puppy Rescue,Action,0.0,0.02666666666666666,0.0,0.0,0.03,233
Barbie and the Three Musketeers,Adventure,0.21,0.0,0.0,0.02,0.23,234
Barbie as The Island Princess,Adventure,0.42,0.0,0.0,0.03,0.45,235
Barbie: Groom and Glam Pups,Action,0.19,0.02,0.0,0.01,0.22,236
"Barbie: Jet, Set & Style!",Misc,0.23,0.01,0.0,0.02,0.26,237
Barnyard,Action,0.04,0.0,0.0,0.0,0.04,238
Baroque,Role-Playing,0.07,0.0,0.0,0.0,0.08,239
Baseball Blast!,Sports,0.14,0.0,0.0,0.01,0.15,240
Basketball Hall of Fame Ultimate Hoops Challenge,Sports,0.06,0.0,0.0,0.0,0.07,241
Bass Pro Shops: The Hunt,Sports,0.155,0.0,0.0,0.015,0.16499999999999998,242
Bass Pro Shops: The Strike,Sports,0.325,0.0,0.0,0.025,0.35,243
Batman Begins,Action,0.16,0.04,0.0,0.01,0.21,244
Batman: A Telltale Game Series,Adventure,0.005,0.015,0.0,0.005,0.025,245
Batman: Arkham Asylum,Action,1.4766666666666666,0.86,0.030000000000000002,0.3233333333333333,2.69,246
Batman: Arkham City,Action,1.5050000000000001,0.92,0.0375,0.3325,2.8,247
Batman: Arkham Knight,Action,0.81,0.69,0.03333333333333333,0.25,1.79,248
Batman: Arkham Origins,Action,0.6375,0.4325,0.01,0.16000000000000003,1.2425000000000002,249
Batman: Dark Tomorrow,Action,0.08,0.02,0.0,0.0,0.11,250
Batman: Rise of Sin Tzu,Action,0.08,0.02,0.0,0.0,0.11,251
Batman: The Brave and the Bold the Videogame,Action,0.22,0.06,0.0,0.02,0.3,252
Battalion Wars 2,Strategy,0.22,0.03,0.08,0.02,0.35,253
Battle Engine Aquila,Shooter,0.01,0.0,0.0,0.0,0.02,254
Battle Fantasia,Fighting,0.035,0.0,0.01,0.005,0.049999999999999996,255
Battle Princess of Arcadias,Role-Playing,0.0,0.0,0.02,0.0,0.02,256
Battle Rage,Shooter,0.04,0.0,0.0,0.0,0.04,257
Battle Worlds: Kronos,Strategy,0.0,0.01,0.0,0.0,0.01,258
Battle of Giants: Dinosaurs Strike,Strategy,0.15,0.04,0.0,0.02,0.2,259
Battle vs. Chess,Misc,0.0,0.03,0.0,0.0,0.03,260
BattleForge,Strategy,0.0,0.01,0.0,0.0,0.01,261
Battleborn,Shooter,0.06666666666666667,0.049999999999999996,0.0033333333333333335,0.02,0.13999999999999999,262
Battlefield 1942,Shooter,0.01,0.01,0.0,0.0,0.03,263
Battlefield 1942: The WW II Anthology,Shooter,0.01,0.01,0.0,0.0,0.03,264
Battlefield 2,Shooter,0.0,0.07,0.0,0.02,0.08,265
Battlefield 2142,Shooter,0.0,0.02,0.0,0.0,0.03,266
Battlefield 2: Modern Combat,Shooter,0.37,0.08499999999999999,0.005,0.025,0.485,267
Battlefield 3,Shooter,2.733333333333334,2.1633333333333336,0.13666666666666666,0.7566666666666667,5.786666666666666,268
Battlefield 4,Shooter,1.282,1.114,0.09200000000000001,0.31999999999999995,2.806,269
Battlefield Vietnam,Shooter,0.0,0.02,0.0,0.0,0.03,270
Battlefield: Bad Company,Shooter,0.785,0.41000000000000003,0.045,0.16499999999999998,1.405,271
Battlefield: Bad Company 2,Shooter,1.2033333333333334,0.89,0.04,0.25666666666666665,2.3866666666666667,272
Battlefield: Hardline,Shooter,0.34199999999999997,0.36,0.044000000000000004,0.10800000000000001,0.852,273
Battlestar Galactica,Shooter,0.06,0.02,0.0,0.0,0.08,274
Battlestations: Midway,Strategy,0.105,0.015,0.0,0.01,0.135,275
Battlestations: Pacific,Strategy,0.085,0.06999999999999999,0.005,0.015,0.18,276
Bayonetta,Action,0.475,0.33499999999999996,0.15,0.125,1.085,277
Bayonetta 2,Action,0.34,0.28,0.1,0.3,1.01,278
Beastly,Misc,0.03,0.0,0.0,0.0,0.03,279
Beat Sketch!,Misc,0.0,0.0,0.08,0.0,0.08,280
Beatdown: Fists of Vengeance,Action,0.03,0.01,0.0,0.0,0.04,281
Beautiful Katamari,Puzzle,0.14,0.02,0.15,0.02,0.32,282
Bee Movie Game,Action,0.235,0.005,0.0,0.02,0.255,283
Beijing 2008,Sports,0.14500000000000002,0.46,0.005,0.125,0.73,284
Bejeweled 2 Deluxe,Puzzle,0.0,0.02,0.0,0.0,0.02,285
Bejeweled 3,Puzzle,0.02,0.05,0.0,0.01,0.08,286
Bejeweled Blitz,Puzzle,0.0,0.01,0.0,0.0,0.02,287
Bejeweled Twist,Puzzle,0.01,0.04,0.0,0.01,0.05,288
Ben 10 Alien Force: Vilgax Attacks,Action,0.18,0.12,0.0,0.03,0.33,289
Ben 10 Galactic Racing,Racing,0.07,0.023333333333333334,0.0,0.01,0.10666666666666667,290
Ben 10 Omniverse 2,Action,0.0,0.01,0.0,0.0,0.01,291
Ben 10 Ultimate Alien: Cosmic Destruction,Platform,0.13,0.08333333333333333,0.0,0.02666666666666667,0.24,292
Ben 10: Alien Force,Action,0.52,0.21,0.0,0.07,0.81,293
Ben 10: Protector of Earth,Action,0.55,0.55,0.0,0.13,1.23,294
Beowulf: The Game,Action,0.25,0.01,0.0,0.02,0.28,295
Beyblade: Metal Fusion - Battle Fortress,Action,0.15,0.0,0.03,0.01,0.2,296
Beyond Good & Evil,Adventure,0.08,0.02,0.0,0.0,0.1,297
Beyond: Two Souls,Adventure,0.52,0.88,0.06,0.34,1.79,298
Bicycle Casino 2005,Misc,0.17,0.05,0.0,0.01,0.23,299
Big Beach Sports,Sports,0.45,1.02,0.0,0.2,1.67,300
Big Brain Academy: Wii Degree,Misc,1.06,1.93,0.41,0.43,3.82,301
Big Family Games,Misc,0.0,0.22,0.0,0.02,0.23,302
Big League Sports,Sports,0.135,0.015,0.0,0.01,0.155,303
Big League Sports: Summer,Sports,0.09,0.0,0.0,0.01,0.09,304
Big Mutha Truckers,Racing,0.15,0.04,0.0,0.01,0.19,305
Big Mutha Truckers 2,Racing,0.05,0.02,0.0,0.0,0.07,306
Bigfoot King of Crush,Racing,0.02,0.0,0.0,0.0,0.03,307
Bigfoot: Collision Course,Racing,0.3,0.0,0.0,0.02,0.32,308
Billy the Wizard: Rocket Broomstick Racing,Racing,0.04,0.0,0.0,0.0,0.05,309
Billy's Boot Camp: Wii de Enjoy Diet!,Sports,0.0,0.0,0.07,0.0,0.07,310
Binary Domain,Action,0.09,0.07500000000000001,0.08,0.025,0.26,311
BioShock,Shooter,0.8033333333333332,0.5800000000000001,0.02,0.17,1.5633333333333335,312
BioShock 2,Shooter,1.15,0.51,0.02,0.20500000000000002,1.88,313
BioShock Infinite,Shooter,0.7399999999999999,0.5199999999999999,0.02,0.17999999999999997,1.4633333333333332,314
BioShock The Collection,Shooter,0.04,0.075,0.005,0.02,0.14,315
Biohazard: Revival Selection,Action,0.0,0.0,0.105,0.0,0.105,316
Bionic Commando,Platform,0.12,0.14500000000000002,0.01,0.05,0.325,317
Bionicle,Action,0.05,0.01,0.0,0.0,0.06,318
Bionicle Heroes,Shooter,0.045,0.005,0.0,0.005,0.05500000000000001,319
Birds of Steel,Simulation,0.10500000000000001,0.065,0.01,0.025,0.20500000000000002,320
Birthday Party Bash,Misc,0.3,0.0,0.0,0.02,0.32,321
Black,Shooter,0.31,0.09,0.0,0.01,0.42,322
Black & White,Strategy,0.0,0.04,0.0,0.01,0.04,323
Black & White 2,Strategy,0.01,0.07,0.0,0.01,0.09,324
Black Mirror 2,Adventure,0.0,0.04,0.0,0.01,0.05,325
Black Rose Valkyrie,Role-Playing,0.0,0.0,0.02,0.0,0.02,326
Black Stone: Magic & Steel,Role-Playing,0.03,0.01,0.0,0.0,0.04,327
Blacksite: Area 51,Shooter,0.18,0.12000000000000001,0.0,0.034999999999999996,0.32999999999999996,328
Blackwater,Shooter,0.09,0.02,0.0,0.01,0.12,329
Blade Arcus from Shining EX,Fighting,0.0,0.0,0.02,0.0,0.02,330
Blade II,Action,0.1,0.03,0.0,0.0,0.13,331
Blades of Time,Action,0.05500000000000001,0.03,0.005,0.01,0.10500000000000001,332
Bladestorm: Nightmare,Action,0.03333333333333333,0.02,0.02,0.006666666666666667,0.08,333
